class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
macaw.businessLayer.VariableTypeFilterEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
macaw.util.WindowSizeListenerEvoSuiteTest,class,5,5,1,0,8,10,5,5,1,0,0,0,0,56
macaw.system.MacawChangeEvent,class,1,14,1,0,1,41,14,14,0,6,0,0,1,120
macaw.test.retrieval.TestRetrieveUsers,class,2,19,3,0,29,49,11,10,0,5,0,0,2,272
macaw.presentationLayer.VariableSelectionDialog,class,5,13,1,0,22,0,8,5,0,8,0,0,3,156
macaw.businessLayer.DerivedVariableEvoSuiteTest,class,9,13,1,0,17,66,12,12,1,0,0,0,3,102
macaw.presentationLayer.DerivedVariableEditorEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
macaw.system.UserInterfaceFactory,class,0,38,1,0,22,555,35,35,0,7,0,0,2,288
macaw.presentationLayer.AlternativeVariableSelectionPanelEvoSuiteTest,class,9,6,1,0,12,15,6,6,1,0,0,0,0,64
macaw.test.curation.TestSupportingDocumentFilter,class,3,21,3,0,17,66,12,10,0,8,0,0,0,285
macaw.presentationLayer.LoginDialogEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,29
macaw.businessLayer.SupportingDocument,class,5,39,1,0,26,84,20,20,2,7,0,0,15,322
macaw.util.DisplayableList,class,2,54,1,0,40,0,20,19,0,4,0,0,1,267
macaw.persistenceLayer.production.SQLChangeEventManager,class,7,34,1,0,36,36,13,12,0,1,0,0,18,399
macaw.presentationLayer.RawVariableEditor,class,7,22,2,0,47,15,7,5,0,1,0,0,2,223
macaw.persistenceLayer.production.SQLOntologyTermManagerEvoSuiteTest,class,9,9,1,0,5,10,5,5,1,0,0,0,0,70
macaw.businessLayer.ConstantConverterEvoSuiteTest,class,7,4,1,0,7,6,4,4,1,0,0,0,3,45
macaw.presentationLayer.AvailabilityStateEditorEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
macaw.businessLayer.MacawListChoice,class,4,22,1,0,14,32,16,14,2,3,0,0,7,166
macaw.presentationLayer.VariableLabelTable,class,5,13,5,0,19,1,7,6,0,3,0,0,0,139
macaw.persistenceLayer.demo.InMemoryVariableFilter,class,7,33,1,0,16,9,7,3,0,2,0,0,2,174
macaw.persistenceLayer.demo.InMemoryOntologyTermFilter,class,4,23,1,0,15,4,5,3,0,1,0,0,5,167
macaw.persistenceLayer.production.SQLUtilities,class,1,7,1,0,4,1,2,2,2,0,0,0,2,98
macaw.presentationLayer.ChangeHistoryViewerEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,29
macaw.util.OKClosePanelEvoSuiteTest,class,6,7,1,0,11,21,7,7,1,0,0,0,0,75
macaw.presentationLayer.AliasFilePathEditorEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,29
macaw.util.DisplayableListItemSelector,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,22
macaw.businessLayer.OntologyTerm,class,5,42,1,0,27,63,19,19,2,6,0,0,28,313
